benchmark,size,selection_scheme,run,timestamp,ilp_time_assignment,status,error
db_join,32,smart_lp,10,2026-04-21T20:55:33Z,9.539816,ok,
db_join,64,smart_lp,1,2026-04-21T20:55:55Z,,error,"exit -9: Options { path: ""/root/giannis/benchmarks/db_join/64/db_join.c"", frontend: FrontendOptions { language: Auto, value_threshold: None }, parties: 2, backend: Mpc { cost_model: ""empirical"", selection_scheme: ""smart_lp"", part_size: 8000, mut_level: 2, mut_step_size: 1, graph_type: 0, imbalance: 3 } }"
db_join,64,smart_lp,2,2026-04-21T20:56:40Z,,error,"exit -9: Options { path: ""/root/giannis/benchmarks/db_join/64/db_join.c"", frontend: FrontendOptions { language: Auto, value_threshold: None }, parties: 2, backend: Mpc { cost_model: ""empirical"", selection_scheme: ""smart_lp"", part_size: 8000, mut_level: 2, mut_step_size: 1, graph_type: 0, imbalance: 3 } }"
db_join,64,smart_lp,3,2026-04-21T20:56:57Z,,error,"exit -9: Options { path: ""/root/giannis/benchmarks/db_join/64/db_join.c"", frontend: FrontendOptions { language: Auto, value_threshold: None }, parties: 2, backend: Mpc { cost_model: ""empirical"", selection_scheme: ""smart_lp"", part_size: 8000, mut_level: 2, mut_step_size: 1, graph_type: 0, imbalance: 3 } }"
db_join,64,smart_lp,4,2026-04-21T20:57:18Z,,error,"exit -9: Options { path: ""/root/giannis/benchmarks/db_join/64/db_join.c"", frontend: FrontendOptions { language: Auto, value_threshold: None }, parties: 2, backend: Mpc { cost_model: ""empirical"", selection_scheme: ""smart_lp"", part_size: 8000, mut_level: 2, mut_step_size: 1, graph_type: 0, imbalance: 3 } }"
db_join,64,smart_lp,5,2026-04-21T20:57:25Z,,error,"exit -9: Options { path: ""/root/giannis/benchmarks/db_join/64/db_join.c"", frontend: FrontendOptions { language: Auto, value_threshold: None }, parties: 2, backend: Mpc { cost_model: ""empirical"", selection_scheme: ""smart_lp"", part_size: 8000, mut_level: 2, mut_step_size: 1, graph_type: 0, imbalance: 3 } }"
db_join,64,smart_lp,6,2026-04-21T20:58:35Z,,error,"exit -9: Options { path: ""/root/giannis/benchmarks/db_join/64/db_join.c"", frontend: FrontendOptions { language: Auto, value_threshold: None }, parties: 2, backend: Mpc { cost_model: ""empirical"", selection_scheme: ""smart_lp"", part_size: 8000, mut_level: 2, mut_step_size: 1, graph_type: 0, imbalance: 3 } }"
db_join,64,smart_lp,7,2026-04-21T20:58:42Z,,error,"exit -9: Options { path: ""/root/giannis/benchmarks/db_join/64/db_join.c"", frontend: FrontendOptions { language: Auto, value_threshold: None }, parties: 2, backend: Mpc { cost_model: ""empirical"", selection_scheme: ""smart_lp"", part_size: 8000, mut_level: 2, mut_step_size: 1, graph_type: 0, imbalance: 3 } }"
db_join,64,smart_lp,8,2026-04-21T20:59:05Z,,error,"exit -9: Options { path: ""/root/giannis/benchmarks/db_join/64/db_join.c"", frontend: FrontendOptions { language: Auto, value_threshold: None }, parties: 2, backend: Mpc { cost_model: ""empirical"", selection_scheme: ""smart_lp"", part_size: 8000, mut_level: 2, mut_step_size: 1, graph_type: 0, imbalance: 3 } }"
db_join,64,smart_lp,9,2026-04-21T21:00:17Z,,error,"exit -9: Options { path: ""/root/giannis/benchmarks/db_join/64/db_join.c"", frontend: FrontendOptions { language: Auto, value_threshold: None }, parties: 2, backend: Mpc { cost_model: ""empirical"", selection_scheme: ""smart_lp"", part_size: 8000, mut_level: 2, mut_step_size: 1, graph_type: 0, imbalance: 3 } }"
db_join,64,smart_lp,10,2026-04-21T21:00:32Z,,error,"exit -9: Options { path: ""/root/giannis/benchmarks/db_join/64/db_join.c"", frontend: FrontendOptions { language: Auto, value_threshold: None }, parties: 2, backend: Mpc { cost_model: ""empirical"", selection_scheme: ""smart_lp"", part_size: 8000, mut_level: 2, mut_step_size: 1, graph_type: 0, imbalance: 3 } }"
db_variance,1024,smart_lp,1,2026-04-21T21:01:39Z,4.022966,ok,
db_variance,1024,smart_lp,2,2026-04-21T21:01:43Z,3.710233,ok,
db_variance,1024,smart_lp,3,2026-04-21T21:01:47Z,3.771815,ok,
db_variance,1024,smart_lp,4,2026-04-21T21:01:51Z,3.770235,ok,
db_variance,1024,smart_lp,5,2026-04-21T21:01:55Z,3.741846,ok,
db_variance,1024,smart_lp,6,2026-04-21T21:01:59Z,3.746497,ok,
